# ra_1	dec_1	r	rErr	i	iErr	ha	haErr	mergedClass_1	errBits	l	b	RA_2	DEC_2	L	B	MERGEDCLASS_2	J	JERR	H	HERR	K	KERR	Separation
72.10480 44.85910 18.86658 0.01443 17.90622 0.02274 18.47077 0.02671 -1.00000 0.00000 160.46037 -0.05526 1.25847 0.78294 160.46040 -0.05526 -1.00000 16.33734 0.00822 15.80001 0.00792 15.54550 0.01759 0.13628
72.10465 44.87717 19.90400 0.03210 18.86531 0.04825 19.61121 0.06576 -1.00000 0.00000 160.44649 -0.04370 1.25846 0.78325 160.44648 -0.04369 -1.00000 17.80388 0.02799 17.20953 0.02739 17.00480 0.06480 0.05339
72.10094 44.89325 17.42893 0.00569 16.68535 0.00996 17.08070 0.01059 -1.00000 0.00000 160.43250 -0.03535 1.25840 0.78353 160.43250 -0.03535 -1.00000 15.61756 0.00476 15.17079 0.00465 15.03859 0.01125 0.03176
72.10058 44.88141 15.03856 0.00166 14.42447 0.00296 14.74855 0.00311 -1.00000 0.00000 160.44139 -0.04317 1.25839 0.78333 160.44140 -0.04318 -1.00000 13.57472 0.00135 13.21702 0.00112 13.11859 0.00250 0.04326
72.10055 44.91365 19.49086 0.02307 18.55845 0.03761 19.05156 0.04168 -1.00000 0.00000 160.41672 -0.02241 1.25839 0.78389 160.41670 -0.02242 -1.00000 17.38970 0.01944 16.87936 0.02032 16.59627 0.04445 0.04139
72.10137 44.91116 15.55144 0.00213 14.86880 0.00368 15.18569 0.00384 -1.00000 0.00000 160.41900 -0.02358 1.25841 0.78385 160.41899 -0.02359 -1.00000 13.91233 0.00162 13.41213 0.00127 13.28514 0.00280 0.04368
72.10066 44.88866 14.15299 0.00109 13.23559 0.00168 13.71981 0.00191 -1.00000 0.00000 160.43588 -0.03845 1.25839 0.78345 160.43588 -0.03846 -1.00000 11.75715 0.00055 11.19005 0.00037 10.90872 0.00068 0.03650
72.09610 44.88090 19.04241 0.01640 18.15123 0.02734 18.69049 0.03149 -1.00000 0.00000 160.43974 -0.04593 1.25831 0.78332 160.43973 -0.04592 -1.00000 16.90111 0.01292 16.32331 0.01242 16.10074 0.02859 0.03422
72.09580 44.87721 19.14989 0.01777 18.27075 0.02998 18.77172 0.03351 -1.00000 0.00000 160.44242 -0.04847 1.25831 0.78326 160.44242 -0.04846 -1.00000 16.88191 0.01272 16.40536 0.01335 16.21957 0.03182 0.05567
72.09424 44.87051 17.77076 0.00697 17.00793 0.01220 17.43077 0.01312 -1.00000 0.00000 160.44683 -0.05363 1.25828 0.78314 160.44684 -0.05363 -2.00000 15.89142 0.00582 15.47872 0.00601 15.31308 0.01429 0.07003
72.09405 44.89928 18.10656 0.00860 17.33867 0.01520 17.73890 0.01601 -1.00000 0.00000 160.42474 -0.03520 1.25828 0.78364 160.42473 -0.03520 -1.00000 16.13735 0.00699 15.58481 0.00655 15.42244 0.01564 0.01749
72.09357 44.87922 16.40573 0.00326 15.74370 0.00580 16.04661 0.00595 -1.00000 0.00000 160.43986 -0.04838 1.25827 0.78329 160.43986 -0.04838 -1.00000 14.76374 0.00268 14.37163 0.00249 14.29119 0.00604 0.03732
72.09283 44.90651 16.84562 0.00411 15.88072 0.00625 16.39686 0.00717 -1.00000 0.00000 160.41866 -0.03120 1.25826 0.78377 160.41865 -0.03121 -1.00000 14.39172 0.00213 13.71302 0.00155 13.52286 0.00333 0.01068
72.08970 44.87658 19.37679 0.02111 18.44867 0.03446 18.87837 0.03638 -1.00000 0.00000 160.44011 -0.05218 1.25820 0.78324 160.44012 -0.05217 -1.00000 17.13698 0.01576 16.52028 0.01478 16.37175 0.03643 0.06981
72.09112 44.90262 14.83600 0.00151 14.17535 0.00262 14.50033 0.00276 -1.00000 0.00000 160.42085 -0.03463 1.25823 0.78370 160.42085 -0.03464 -1.00000 13.27925 0.00116 12.84348 0.00089 12.76814 0.00197 0.02582
72.08664 44.87992 17.37907 0.00553 16.55694 0.00921 17.05422 0.01042 -1.00000 0.00000 160.43617 -0.05169 1.25815 0.78330 160.43617 -0.05169 -1.00000 15.30319 0.00382 14.89013 0.00371 14.70653 0.00849 0.02675
72.08459 44.87044 15.78394 0.00239 15.12138 0.00418 15.44080 0.00436 -1.00000 0.00000 160.44248 -0.05891 1.25811 0.78314 160.44249 -0.05890 -1.00000 14.12469 0.00183 13.73028 0.00157 13.61305 0.00357 0.05389
72.08189 44.89002 17.17899 0.00494 16.51387 0.00898 16.90480 0.00954 -1.00000 0.00000 160.42627 -0.04775 1.25807 0.78348 160.42627 -0.04775 -1.00000 15.56010 0.00457 15.23966 0.00492 15.10198 0.01184 0.01794
72.07821 44.87889 18.69273 0.01275 17.81299 0.02124 18.31072 0.02377 -1.00000 0.00000 160.43310 -0.05691 1.25800 0.78328 160.43310 -0.05692 -1.00000 16.38366 0.00850 15.75985 0.00762 15.61420 0.01850 0.03326
72.07835 44.89158 18.34521 0.01005 17.60312 0.01826 18.03307 0.01953 -1.00000 0.00000 160.42347 -0.04866 1.25801 0.78351 160.42348 -0.04864 -1.00000 16.51431 0.00942 16.12574 0.01044 15.94786 0.02482 0.10365
72.07729 44.87387 15.97818 0.00263 15.40913 0.00485 15.75934 0.00512 -1.00000 0.00000 160.43652 -0.06065 1.25799 0.78320 160.43652 -0.06065 -1.00000 14.60681 0.00244 14.31751 0.00239 14.16885 0.00546 0.02142
72.07556 44.88361 16.85717 0.00414 15.78649 0.00593 16.39666 0.00717 -1.00000 0.00000 160.42828 -0.05531 1.25796 0.78337 160.42828 -0.05531 -1.00000 14.10436 0.00181 13.33776 0.00121 13.10060 0.00246 0.00760
72.07360 44.87069 17.21124 0.00503 16.35515 0.00817 16.86788 0.00934 -1.00000 0.00000 160.43727 -0.06470 1.25792 0.78314 160.43726 -0.06470 -1.00000 15.04748 0.00323 14.52876 0.00280 14.34023 0.00627 0.02309
72.07229 44.87660 18.60450 0.01199 17.80700 0.02114 18.33164 0.02413 -1.00000 0.00000 160.43215 -0.06160 1.25790 0.78324 160.43216 -0.06160 -1.00000 16.58756 0.01002 16.18614 0.01101 15.94310 0.02472 0.03477
72.07132 44.87908 17.11806 0.00477 16.39939 0.00839 16.76481 0.00880 -1.00000 0.00000 160.42981 -0.06052 1.25788 0.78329 160.42981 -0.06052 -1.00000 15.34928 0.00395 14.89856 0.00373 14.74780 0.00876 0.02525
72.07014 44.87483 19.93707 0.03298 19.05179 0.05633 19.63358 0.06700 -1.00000 0.00000 160.43252 -0.06391 1.25786 0.78321 160.43250 -0.06392 -1.00000 17.55193 0.02253 16.95225 0.02172 16.77751 0.05231 0.06161
72.06719 44.87473 18.56743 0.01168 17.76141 0.02045 18.25663 0.02286 -1.00000 0.00000 160.43125 -0.06557 1.25781 0.78321 160.43125 -0.06557 -1.00000 16.48923 0.00926 16.04963 0.00978 15.87615 0.02326 0.01748
72.06546 44.88815 17.88102 0.00746 17.09121 0.01288 17.55923 0.01424 -1.00000 0.00000 160.42020 -0.05785 1.25778 0.78345 160.42019 -0.05786 -1.00000 15.87928 0.00577 15.51012 0.00616 15.33235 0.01441 0.02454
72.06301 44.88705 17.84738 0.00731 16.93174 0.01162 17.37750 0.01269 -1.00000 0.00000 160.41993 -0.05989 1.25774 0.78343 160.41992 -0.05989 -1.00000 15.59256 0.00469 14.94800 0.00388 14.75234 0.00877 0.02380
