# ra_1	dec_1	r	rErr	i	iErr	ha	haErr	mergedClass_1	errBits	l	b	RA_2	DEC_2	L	B	MERGEDCLASS_2	J	JERR	H	HERR	K	KERR	Separation
#71.71345 45.19067 15.15112 0.00178 14.53683 0.00308 14.86707 0.00330 -1.00000 0.00000 160.02859 -0.05216 1.25164 0.78873 160.02862 -0.05213 -1.00000 13.73026 0.00137 13.42028 0.00124 13.31220 0.00254 0.16115
71.73455 45.21209 18.39382 0.01562 17.52416 0.02038 18.03853 0.02662 -1.00000 0.00000 160.02191 -0.02696 1.25200 0.78910 160.02192 -0.02697 -2.00000 16.28717 0.00685 15.82025 0.00746 15.62637 0.01594 0.07308
71.73279 45.22968 15.88632 0.00266 14.72581 0.00343 15.41709 0.00440 -1.00000 0.00000 160.00771 -0.01651 1.25197 0.78941 160.00771 -0.01652 -1.00000 12.80044 0.00085 12.04913 0.00056 11.76087 0.00098 0.04593
71.72856 45.21757 15.29108 0.00190 14.54613 0.00313 14.92033 0.00335 -1.00000 0.00000 160.01500 -0.02662 1.25190 0.78920 160.01501 -0.02664 -1.00000 13.45656 0.00118 12.97627 0.00094 12.80885 0.00181 0.08421
71.72834 45.22965 18.32147 0.01472 17.42026 0.01882 17.95053 0.02479 -1.00000 0.00000 160.00570 -0.01892 1.25190 0.78941 160.00570 -0.01892 -1.00000 16.19833 0.00640 15.73345 0.00694 15.53767 0.01475 0.01963
71.72630 45.22860 18.71313 0.02039 17.79404 0.02519 18.31460 0.03340 -1.00000 0.00000 160.00557 -0.02069 1.25186 0.78939 160.00557 -0.02070 -1.00000 16.51258 0.00814 16.02268 0.00888 15.77558 0.01815 0.03239
71.72457 45.22896 16.96153 0.00526 16.18444 0.00792 16.67115 0.00955 -1.00000 0.00000 160.00450 -0.02138 1.25183 0.78939 160.00450 -0.02139 -1.00000 15.12201 0.00304 14.76354 0.00317 14.59389 0.00666 0.03988
71.72241 45.23040 19.13804 0.02932 18.09338 0.03209 18.67165 0.04513 -1.00000 0.00000 160.00242 -0.02161 1.25179 0.78942 160.00241 -0.02162 -1.00000 16.66999 0.00921 16.10360 0.00952 15.89537 0.02017 0.03687
71.71943 45.21771 18.83705 0.02264 17.95792 0.02873 18.53709 0.04025 -1.00000 0.00000 160.01073 -0.03143 1.25174 0.78920 160.01073 -0.03145 -1.00000 16.57784 0.00857 16.12893 0.00975 15.92523 0.02071 0.06614
71.71796 45.21506 19.43218 0.03789 18.40333 0.04151 19.03333 0.06164 -1.00000 0.00000 160.01207 -0.03393 1.25171 0.78915 160.01209 -0.03395 -1.00000 16.76756 0.00996 16.09385 0.00946 15.79580 0.01849 0.09830
71.71738 45.21137 19.60274 0.04403 18.55692 0.04727 19.11747 0.06633 -1.00000 0.00000 160.01462 -0.03664 1.25170 0.78909 160.01465 -0.03667 -1.00000 17.04628 0.01250 16.43195 0.01270 16.20251 0.02650 0.18032
